conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1920137161455849966,Wed May 07 15:22:28 +0000 2025,0,Chatgpt makin canggih aja ya #chatgptprompts #chatgpt #Ghibli https://t.co/8tkbGapTNY,1920137161455849966,https://pbs.twimg.com/media/GqWyjfObgAAsZPy.jpg,,in,,0,0,0,https://x.com/undefined/status/1920137161455849966,1723829804838141952,
1914203129786355768,Mon Apr 21 06:22:44 +0000 2025,0,eknologi AI emang bikin geleng-geleng yaa. Jangan sampai ketinggalan yaa buat ngasilin cuan dari Chat GPT salah satu AI yang lagi trend inii Jangan lupa follow Digital Marketing School untuk info bermanfaat lainyya! #ai #chatgpt #ghibli #digitalmarketing https://t.co/onuIzRacaQ,1914203129786355768,https://pbs.twimg.com/amplify_video_thumb/1914202179277332481/img/weL1TWsjkDXw0ZrX.jpg,,in,,0,0,0,https://x.com/undefined/status/1914203129786355768,1881596924069113856,
1910312140738543845,Thu Apr 10 12:41:20 +0000 2025,345,Awwww ️ Teka ang celeb @kolettemadelo #KoletteMadelo #Ghibli #ChatGPT https://t.co/IBOKsu5WME,1910312140738543845,https://pbs.twimg.com/media/GoLKweVXMAAUu4n.jpg,,in,,0,0,13,https://x.com/undefined/status/1910312140738543845,1618022275353124864,
1909279713501282789,Mon Apr 07 16:18:53 +0000 2025,0,Gimana menurut kalian? Kreatif atau nyerempet garis merah? #Ghibli #Ghiblistudio #ChatGPT #ghiblistyle #japanese #eijiyamamori #japan,1909279723521458204,,cettajapanese,in,,0,0,0,https://x.com/undefined/status/1909279723521458204,1712659431790727168,
1909279713501282789,Mon Apr 07 16:18:52 +0000 2025,0,Para animator Ghibli bisa ngabisin bertahun-tahun buat bikin 5 detik animasi aja. Makanya munculnya AI bikin banyak seniman ngerasa karyanya dijiplak instan . Duh dilema zaman sekarang ya #Ghibli #Ghiblistudio #ChatGPT #ghiblistyle #japanese #eijiyamamori #japan,1909279721210470894,,cettajapanese,in,,0,1,0,https://x.com/undefined/status/1909279721210470894,1712659431790727168,
1909279713501282789,Mon Apr 07 16:18:52 +0000 2025,0,Jadi ada yang bikin animasi ala Ghibli pake bantuan AI kayak ChatGPT. Estetik sih tapi netizen banyak yang gak setuju. Katanya itu nginjek-injek proses dan nilai seni asli dari Ghibli #Ghibli #Ghiblistudio #ChatGPT #ghiblistyle #japanese #eijiyamamori #japan,1909279718958080210,,cettajapanese,in,,0,1,0,https://x.com/undefined/status/1909279718958080210,1712659431790727168,
1909279713501282789,Mon Apr 07 16:18:51 +0000 2025,0,Studio Ghibli tuh terkenal banget karena prosesnya yang manual dan penuh cinta. Tiap frame digambar tangan makanya feel-nya dalem banget! Tapi sekarang malah muncul ChatGPT Ghibli ?? #Ghibli #Ghiblistudio #ChatGPT #ghiblistyle #japanese #eijiyamamori #japan,1909279716374372701,,cettajapanese,in,,0,1,0,https://x.com/undefined/status/1909279716374372701,1712659431790727168,
1909279713501282789,Mon Apr 07 16:18:51 +0000 2025,2,Udah pada taukan kalo scene singkat ini dikerjain 1 tahun 3 bulan? #Ghibli #Ghiblistudio #ChatGPT #ghiblistyle #japanese #eijiyamamori #japan https://t.co/7Ec4QeyCCd,1909279713501282789,https://pbs.twimg.com/ext_tw_video_thumb/1909277865105035264/pu/img/JQI9CxruriIgBYs9.jpg,,in,,0,1,0,https://x.com/undefined/status/1909279713501282789,1712659431790727168,
1908546677176443042,Sat Apr 05 15:46:01 +0000 2025,0,Cara Ganti Foto Jadi Action Figure 3D yang Lucu Menggunakan ChatGPT https://t.co/c84bhvfxKp #ActionFigure #chatgpt #ghibli #FotoProfilBaru #mainan,1908546677176443042,,,in,,0,0,0,https://x.com/undefined/status/1908546677176443042,970647312853684224,
1908370873612198280,Sat Apr 05 04:07:26 +0000 2025,1,Foto Bergaya Studio #Ghibli dengan #ChatGPT: Tren #Viral yang Memicu Perdebatan Hak Cipta selengkapnya &gt;&gt; https://t.co/orOQPnIbkG https://t.co/GrU7TXB6VD,1908370873612198280,,,in,,0,0,0,https://x.com/undefined/status/1908370873612198280,924404290659033088,
